,name,age,joining_date,income,job_category,remote,unknown1,city,country,unknown2,gender,phone,email,marital_status,employment_status,job_role,analytics,dashboard,experience,company
331,Kevin Francis,,,97359,C,,003,Port Dennisstad,Norfolk Island,,,+1-418-131-9295x534,,,freelancer,Computer games developer,Other,Tableau,9,
332,Geoffrey Spence,,,71607,C,No,abc,New Dorothyshire,Gabon,,M,550.628.8312x4986,,single,freelancer,Computer games developer,Other,PowerBI,8,
333,Amanda Stevens,37,2024-04-20,61314,C,Yes,,East Jacobchester,Puerto Rico,,,610.147.0278x3758,,married,employed,"Lighting technician, broadcasting/film/video",Excel,Other,5,
334,Jennifer Smith,,2024-09-13,70498,A,Yes,003,North Michaelport,Guinea-Bissau,True,,001-020-740-4698x1506,,married,employed,"Surveyor, building control",Python,Other,2,"Benson, Mccormick and Valencia"
335,Jeffrey Weiss,,,29999,B,Yes,,Marilynland,Swaziland,,M,+1-030-602-7928,amyallen@hughes.com,,freelancer,Industrial buyer,Other,Other,1,
336,Sara Smith,,,105266,A,Yes,,South Joanna,Niue,True,Other,573-140-9335x902,,married,freelancer,"Surveyor, mining",Other,Tableau,2,
337,Joel Griffith,,,137311,B,No,abc,Garzashire,Mauritius,,,173.614.1604,nicholas23@brown.com,married,freelancer,Fish farm manager,Excel,Other,9,
338,David Williams,,,109471,Unknown,Yes,,East Andrewhaven,Chile,False,F,+1-887-621-1243,,married,,Animal technologist,Other,Other,3,
339,Brandon Miller,,,23781,B,Yes,003,Jeffreyberg,Pitcairn Islands,True,M,9273210504,,,,Diplomatic Services operational officer,Python,R,3,Jones-Reed
340,Justin Brown,,2022-08-25,49369,C,,abc,Perkinsview,Kuwait,False,,6020467445,christopher67@norton.info,married,unemployed,"Runner, broadcasting/film/video",Python,Tableau,1,
341,Scott Wong,65,2023-05-08,43712,B,Yes,003,Kevinborough,Japan,True,Other,756.864.4643,,,employed,Retail merchandiser,Python,Tableau,8,
342,Dana Gardner,,,148864,Unknown,,,Simpsonland,Marshall Islands,False,M,001-930-143-2554x4014,,single,freelancer,Magazine features editor,SQL,PowerBI,4,
343,Joseph Green,,2025-02-05,7184,B,Yes,,Gabrielton,Tanzania,,Other,+1-131-137-0538x70711,lanetara@gmail.com,single,freelancer,Games developer,Other,Tableau,6,
344,Ashley Davis,63,2025-04-18,144345,B,No,002,Dannybury,Benin,,,001-824-743-9618x143,,single,employed,Music therapist,SQL,Other,4,Mcbride-Dixon
345,Patricia Monroe,,2025-03-24,97251,C,Yes,002,Ravenshire,Ghana,,M,+1-760-073-7201x9318,,,,Applications developer,Excel,Other,4,
346,Charles Smith,,,28014,Unknown,,,New Suzanneville,Cameroon,False,,125-864-4028,yanglisa@cox-thornton.com,married,,"Surveyor, minerals",Python,Other,5,"Walker, Mayo and Ortega"
347,Sonya Valenzuela DDS,52,2025-02-03,146912,A,No,003,Richmondbury,Saint Kitts and Nevis,False,,(333)372-2375x57880,lorigonzalez@hotmail.com,married,freelancer,"Journalist, newspaper",Excel,Other,8,
348,Matthew Stevens,25,2023-09-26,43147,A,No,abc,West David,Bangladesh,,Other,521.574.1059x7554,,,unemployed,Gaffer,SQL,PowerBI,2,
349,Derrick Collins,,,65532,A,No,,Charlesport,Christmas Island,True,Other,(539)878-8917,joyharrison@norman.com,,unemployed,Ship broker,Other,Other,7,
350,Timothy Hoover,,2023-06-17,133829,Unknown,No,002,Erinland,Papua New Guinea,False,F,001-350-020-6580x286,mgreen@pugh-hurst.com,,employed,Community arts worker,Python,Other,3,
351,Carrie Nelson,60,2024-07-04,120155,Unknown,No,abc,South Josephfort,Cyprus,False,,(441)404-2378,,single,,Electronics engineer,Other,R,6,
352,Jamie Gutierrez MD,,,15095,Unknown,Yes,abc,Stewartborough,Netherlands,,M,316.087.1267,dbarrett@gmail.com,,employed,"Programmer, applications",Other,Other,8,
353,Brooke Hernandez,21,2023-01-05,84837,B,No,002,Port Mary,Kuwait,,Other,001-103-891-9225x752,,single,,Theatre manager,SQL,Other,10,Johnson LLC
354,Emily Hampton,,,148237,C,Yes,abc,Kimberlyborough,Suriname,,,929.806.7506x82733,lhorton@hotmail.com,married,,Automotive engineer,Other,Tableau,7,
355,Kyle Edwards,,2023-11-26,37386,B,Yes,,Belindaberg,Zambia,,Other,+1-412-020-0276x96221,kimberly43@ochoa.org,,,"Programmer, multimedia",Other,Tableau,6,
356,Christina Black,42,2024-04-21,44345,C,No,002,West Noah,Netherlands Antilles,True,,885-742-5576,,,,"Engineer, mining",Python,Tableau,1,
357,Richard Robbins,30,,8200,Unknown,No,abc,Brownchester,India,True,,400-367-9433x836,,married,unemployed,Control and instrumentation engineer,Other,Other,7,Scott Inc
358,Charles Dixon,46,,69150,Unknown,Yes,,South Jacobside,France,False,M,+1-193-938-2265,amymccarthy@dean-stout.info,married,employed,Careers information officer,Python,PowerBI,2,
359,Sarah Davenport,,,27990,A,Yes,abc,Lake Morganburgh,Turks and Caicos Islands,False,F,416.860.1123x14499,,,,Retail manager,Other,Other,8,
360,Dale Gordon,,,14395,B,Yes,003,North Michaelborough,United Arab Emirates,,,+1-480-827-6326x170,robinhenry@hotmail.com,,,Charity fundraiser,Excel,R,7,
361,Nathan Garcia,,2022-08-10,113464,Unknown,No,,New Margaretburgh,Vietnam,False,,(674)447-4601,damonturner@wright.com,single,,Historic buildings inspector/conservation officer,Other,PowerBI,7,
362,John Christian,,2024-12-13,87965,B,,,South Jasonchester,Tajikistan,,F,001-169-163-2553x041,,,,Building surveyor,Other,Other,2,
363,Mary Lambert,,2023-07-15,5414,B,Yes,abc,Mcmillanberg,Ecuador,True,F,465.557.6156x951,,,,"Engineer, materials",Excel,R,5,
364,Melissa Ferguson,58,2024-02-25,78826,B,Yes,003,West David,Lao People's Democratic Republic,,,001-898-635-4900x351,,,employed,Artist,Excel,R,5,"Kelly, King and Walker"
365,Anthony Miller,,,51040,A,No,003,West Markport,British Virgin Islands,,,719.353.8750x85446,philip98@gmail.com,married,,Clinical research associate,SQL,Other,8,Jenkins Ltd
366,Brandon Edwards,,2025-06-05,83471,C,,,Kimville,Korea,True,F,(290)514-4487x50614,,,freelancer,Land/geomatics surveyor,Excel,Tableau,4,
367,Carl Raymond,,,107122,C,,001,Grahamtown,Uzbekistan,,Other,156.785.7286x559,,single,freelancer,Risk analyst,Other,PowerBI,7,
368,Robert Romero,,2023-08-21,84250,C,Yes,003,East Erin,Eritrea,True,F,758.333.5041x93002,mguerra@robinson.com,,,Armed forces operational officer,Excel,Other,8,
369,Jessica Murphy MD,,,142265,B,No,002,Jenniferport,Mauritania,True,,061.385.0768x551,,married,unemployed,Occupational psychologist,Excel,Other,6,
370,Nicole Moreno,51,2024-07-15,16542,B,No,abc,Clarkfort,Congo,True,M,455.291.7699x820,,,employed,Surgeon,Other,R,10,
371,Amy Boone,38,2025-02-23,144532,C,No,,South Laura,British Virgin Islands,True,Other,001-426-397-3475x437,pward@palmer.com,married,freelancer,Ship broker,Excel,PowerBI,9,
372,Colton Allen,50,2022-07-25,149012,C,Yes,002,Vangville,Israel,,,022.675.4404x78093,hudsonjoanna@king.com,married,employed,"Radiographer, therapeutic",Python,Other,5,
373,Melissa Walsh,46,2023-06-14,18226,B,Yes,001,Amandastad,Kenya,True,,001-360-143-7463x52525,,married,,Accounting technician,Other,Other,9,Jackson LLC
374,William Perez,,2023-06-17,144849,B,No,,Monicaton,Guadeloupe,False,M,203.082.3086x7009,,,employed,Armed forces training and education officer,Other,R,10,
375,Benjamin Owen,,,63666,C,,003,Christopherville,Syrian Arab Republic,,,001-962-900-9323x249,ecalderon@yahoo.com,,freelancer,Cartographer,Other,Other,0,
376,Matthew Delgado,48,2022-06-10,49774,B,No,,Pageside,Central African Republic,False,,001-384-074-8933x1360,hsharp@gilbert.com,,employed,Special effects artist,Python,Other,10,
377,William Mitchell,,,113381,A,,002,Nicoleview,Afghanistan,False,,086-905-6573x817,,single,freelancer,"Nurse, mental health",SQL,Other,6,Quinn-Berger
378,Timothy Brown,,,50373,B,,abc,Ramirezville,Nicaragua,True,,550-093-7846x5483,,,freelancer,Dentist,Other,PowerBI,7,
379,Tyler Reynolds,,2024-04-06,104329,C,No,,Kylemouth,South Georgia and the South Sandwich Islands,True,M,001-819-896-8237x92352,browningmatthew@wise-nelson.biz,married,,Chief Strategy Officer,Excel,Tableau,10,
380,Robert Williams,,2024-10-16,122220,A,No,,North Aaron,Isle of Man,,Other,742.107.0937x095,,,,Dealer,Python,PowerBI,9,
381,Joy Hill,,,82118,A,No,,Rhondaborough,Ecuador,True,M,(370)507-8550,,,employed,"Therapist, nutritional",Python,PowerBI,3,White PLC
382,Jill Hernandez,,,105346,Unknown,Yes,abc,Jasonfort,Mali,False,F,001-571-255-9732x46454,,married,unemployed,"Designer, graphic",Other,Other,5,"Murphy, Juarez and Smith"
383,Brandon Murray,,2022-11-25,23807,A,No,,Lake Emily,Guam,,,(357)369-1305x87622,hallashley@hotmail.com,single,unemployed,Tax adviser,Other,Other,9,Collins PLC
384,Roberto Jones,57,,149716,Unknown,Yes,003,Kingville,Lao People's Democratic Republic,False,F,001-703-605-8285,,single,,Professor Emeritus,Other,Tableau,8,Stuart-Cain
385,Jason Johnson,,,14926,Unknown,No,001,Kleinland,Greenland,,M,770-721-8450x32234,rhodges@gmail.com,,,Restaurant manager,Other,PowerBI,8,
386,Alexander Lee,23,,25468,Unknown,,003,New Michael,Denmark,True,Other,001-819-818-2108,,single,,Publishing copy,Other,Other,7,
387,Andrew Cole,,,82232,B,No,001,East Vincentside,Argentina,,,(449)510-6750,,single,,Higher education lecturer,Other,Tableau,9,
388,Gary Hudson,,,132076,B,No,,South George,Belize,True,Other,001-748-151-7928x7589,,married,,Dance movement psychotherapist,Python,R,4,
389,Kimberly Lucas,65,,44619,Unknown,No,002,Lake Amandashire,Malawi,,F,001-086-962-0994x51043,,married,,Psychiatrist,Excel,R,1,
390,Gina Jimenez,56,,113251,Unknown,No,,Nicholasport,Chile,,F,001-161-344-8878,yrichardson@young.com,,employed,"Pharmacist, hospital",Python,PowerBI,0,
391,Martha Bean,,,144597,A,Yes,,Kennedymouth,Argentina,,,(082)619-8451x04265,,married,,Education administrator,Other,PowerBI,4,"Porter, Alvarez and Osborne"
392,Larry Blair,,2025-04-30,15752,B,,,Osbornton,Armenia,,,759.428.7762x69333,,,freelancer,"Editor, film/video",Python,R,1,"Snyder, Boyd and White"
393,Kimberly Daniel,,,68385,A,,003,Gregorymouth,Antigua and Barbuda,False,Other,(344)731-1851,,single,employed,"Producer, television/film/video",Excel,PowerBI,6,
394,Alexander Andersen,51,,79264,B,No,001,Connieport,Philippines,True,,+1-878-451-6838,patrickmiranda@kelly-arnold.com,single,,Occupational therapist,SQL,Other,10,
395,John Coffey,63,2023-06-21,39054,Unknown,,002,Parkerbury,Uganda,True,F,+1-674-457-6872x583,,,,"Civil engineer, contracting",Excel,Other,4,Long Group
396,Donald Sparks,,2024-01-01,24397,B,Yes,abc,Wardport,Suriname,,Other,+1-325-025-3327x006,iadams@myers.net,,freelancer,Acupuncturist,SQL,Other,1,Gomez-Thompson
397,Thomas Smith,,,133989,B,No,,South Robertport,Tokelau,,F,020.079.3054x321,,single,,Audiological scientist,Python,PowerBI,0,
398,Amy Singh,,2023-01-02,9919,Unknown,No,,Lake Jennifer,French Guiana,True,M,(070)869-2772x4581,,,freelancer,"Restaurant manager, fast food",SQL,R,6,
399,Alexander Thompson,,,110883,B,,002,Danielmouth,Bhutan,True,,001-413-520-6162x0868,,,employed,Gaffer,Other,Other,5,Jones-Schmidt
400,Tammy Miles,,,28767,C,,003,Simmonsstad,Western Sahara,True,,290-300-4604x5594,,married,unemployed,Museum education officer,Other,PowerBI,6,
401,Steven Powers,,,99178,Unknown,Yes,,Hallfurt,Mozambique,,F,4684944011,jamesscott@gonzalez-williams.org,single,unemployed,Fish farm manager,Excel,Other,3,"Smith, Stevens and Romero"
402,Lindsey Burke,42,,135989,Unknown,No,001,Dorisberg,Georgia,True,Other,625-352-3676x64101,susangarcia@thompson.com,,employed,Health promotion specialist,Other,PowerBI,3,
403,Carla Smith,,,145656,C,,002,West Stephanie,Kazakhstan,True,M,(821)203-1852,,married,,IT technical support officer,Excel,Other,9,
404,Travis Oneal Jr.,,2024-09-28,18096,B,Yes,abc,Maxwellberg,Indonesia,False,,3927797051,wyattjohn@gmail.com,single,employed,Health promotion specialist,Other,Other,9,
405,Victoria Cunningham,22,,110384,C,Yes,,North Jessicafort,Eritrea,False,Other,865.007.1783,michelemarquez@hotmail.com,single,,Games developer,SQL,R,1,
406,Lucas Wood,35,,101974,Unknown,No,abc,Haasville,Iran,False,,001-637-227-4084x14099,marymurphy@montes.com,married,employed,"Buyer, retail",Other,Other,2,
407,Jose Hurley,49,2023-09-30,28367,B,Yes,,Janetberg,Cote d'Ivoire,,F,092-437-1199x4689,morenorichard@gmail.com,married,freelancer,Police officer,Other,Other,6,
408,Donald Williams DVM,,2024-01-06,136042,B,Yes,003,Victoriaberg,Slovakia (Slovak Republic),,M,001-006-111-1320x18353,,married,unemployed,Sport and exercise psychologist,Excel,Other,1,
409,Rose Wood,,,59554,B,Yes,002,Wolfemouth,Mozambique,True,F,(336)398-4922x475,,,,"Administrator, local government",SQL,Tableau,10,
410,Brett Willis,,2023-12-13,118946,B,No,,Nataliefort,Luxembourg,,M,728.704.0440x90875,justin86@luna.com,single,,Actuary,SQL,Tableau,0,"Allen, Perry and Perez"
411,Jeffery Heath,50,2023-10-13,121607,C,Yes,002,South Danny,Brazil,,F,+1-816-417-1010x893,alison07@gmail.com,,unemployed,Secondary school teacher,Excel,Tableau,6,
412,Leslie Green,42,2024-03-03,131984,A,Yes,002,West Mandy,Malaysia,False,,082-716-8656x392,,married,,Research scientist (medical),Python,Tableau,7,
413,Matthew Carpenter,,2024-05-03,58008,C,No,001,East Jacobbury,Norway,True,Other,502-506-8016x52685,pmiles@yahoo.com,single,,Social researcher,Other,Other,2,Gibson-West
414,William Hughes,,,49547,Unknown,No,001,Port Justin,Cayman Islands,,,001-625-891-0838x9558,,married,,"Research officer, trade union",Other,Other,4,
415,Brandon Jones,,2023-05-09,118835,A,,002,Port Stanleystad,Vanuatu,True,,+1-559-290-5293x29812,ntucker@woodard.biz,single,,Database administrator,Other,PowerBI,6,
416,Leslie Atkins,,2024-11-07,68048,B,,001,Bensonborough,Poland,,F,001-011-690-5165,ccox@thomas-russo.org,,freelancer,Careers adviser,SQL,PowerBI,0,Cordova PLC
417,Megan Hughes,,2023-06-05,11399,Unknown,No,002,North Zacharymouth,Wallis and Futuna,,F,376-681-4134x1841,,,employed,"Buyer, retail",Excel,Other,5,
418,Alison Clark,,,147196,A,Yes,,Johnsonberg,Tuvalu,,M,471.219.9852x0790,,,employed,Commercial/residential surveyor,Excel,Other,5,Moore-Mcguire
419,Jason Ward,57,2022-08-15,22565,Unknown,No,002,Donaldside,Switzerland,,F,2439859504,,single,,Technical sales engineer,Other,Tableau,3,Collins Inc
420,Paige Harrison,,,77651,A,Yes,003,Mooreport,Montserrat,,,+1-426-904-6244x050,,single,,"Scientist, research (physical sciences)",Other,Other,4,Williams-Watson
421,Deborah White,,2025-12-05,125028,B,Yes,abc,Caitlynmouth,Guam,False,Other,017-070-2191,xsmith@hotmail.com,single,unemployed,Ophthalmologist,Python,PowerBI,2,Ramos Ltd
422,Tiffany Alexander,27,,10948,B,Yes,,Princeberg,Belgium,False,,619.157.4476x590,,,,Bonds trader,Excel,R,3,
423,Natalie Martin,19,,112922,C,No,abc,East Kevin,Turkey,,,(922)301-9266,,married,freelancer,Government social research officer,SQL,R,3,"Gonzalez, Hendrix and Jones"
424,Douglas Ellis,,2025-02-02,79549,Unknown,No,,Codyview,Belgium,False,,133-802-0959,,married,unemployed,Interpreter,SQL,Tableau,3,
425,Thomas Henry,,,73264,C,No,002,South Michael,Nigeria,True,Other,001-442-632-2241,,married,freelancer,Wellsite geologist,Other,Other,2,
426,Teresa Neal,37,2023-12-07,135919,C,No,003,West Johnchester,Puerto Rico,False,M,+1-396-210-3425,,,freelancer,Fish farm manager,Other,R,9,
427,Sheri Patel,,,34442,Unknown,Yes,002,Debbiefort,Uzbekistan,True,Other,979.381.3441x388,hfuller@paul.com,,,Advertising art director,SQL,Other,5,
428,Robert Grant,38,,143001,A,Yes,002,Port Ashley,Cuba,True,M,665-458-1616x86765,,,employed,"Designer, fashion/clothing",Other,Other,3,"Walker, Hutchinson and Wells"
429,Jill Nguyen,,,19692,C,Yes,002,Kaylafurt,Honduras,,Other,3825541378,,,employed,"Nurse, children's",Python,R,5,Wallace-Smith
430,Brian Mcbride,,2023-10-27,121449,Unknown,No,003,Karenside,New Caledonia,False,,+1-300-863-6015x8696,,,unemployed,IT trainer,Other,Other,1,
431,Desiree Pena,,,142704,C,Yes,,East Rickeyville,Malawi,,M,356-374-0944x273,weaton@simpson.com,,freelancer,Chartered management accountant,Other,Tableau,8,"Newton, Flowers and Reid"
432,Mark Gonzalez,,2024-03-18,105078,B,,abc,West Michelle,French Guiana,True,Other,(709)505-2818x582,,,,Clinical biochemist,Other,Other,3,
433,Jennifer Hughes,18,2025-01-30,128873,B,Yes,abc,Edwardton,Cameroon,False,,(057)510-2346,,married,employed,"Surveyor, quantity",Excel,R,7,
434,Timothy Lopez,,2023-11-04,119312,B,No,,Andrewhaven,Czech Republic,True,Other,001-866-260-9634x36182,,single,freelancer,"Doctor, general practice",SQL,Other,0,
435,Andrew Anderson,,2023-07-03,18864,B,No,abc,Amyland,Mali,,M,313.737.7454,,,,"Designer, ceramics/pottery",Excel,Other,3,
436,Jacob Moore,29,,147530,C,No,,Simsburgh,Belize,,Other,181.709.1940,,,employed,Technical sales engineer,Other,Other,5,
437,Christopher Kelly,18,,132113,Unknown,No,002,East Christopherview,South Africa,True,F,1918576631,xbrown@patel.com,married,unemployed,"Psychologist, forensic",Other,Other,8,
438,Dr. Paul Nelson,,2022-04-07,25027,B,No,001,New Danielfurt,Senegal,,Other,(371)132-1336x7772,,,unemployed,Architectural technologist,Other,Other,8,Page-Campos
439,Scott Wallace,,2024-07-28,36089,A,No,,Lake Megan,Somalia,False,F,+1-914-577-6377x25837,,married,unemployed,"Psychotherapist, child",SQL,PowerBI,6,
440,Christine Mcbride,25,2024-06-07,118048,A,No,001,West Susan,Kiribati,True,,001-666-784-1265x3873,,single,,"Engineer, communications",Excel,R,0,
441,Chloe Nelson,,2023-08-22,37451,A,,002,West Yolandamouth,Andorra,False,Other,8901551080,toddlawrence@gmail.com,single,unemployed,Food technologist,Python,Other,5,Cochran LLC
442,Zachary Fleming,,,22914,B,,001,Baxterland,Tunisia,False,F,+1-061-416-0814x63746,,married,,Tourism officer,Excel,PowerBI,3,
443,Michael Brown,,2024-01-24,53529,Unknown,Yes,002,Lake Nicole,Suriname,,,001-282-291-3339x94555,,married,,Advertising account planner,SQL,Other,1,Jackson Ltd
444,Charles Foster,,2022-12-09,134975,C,Yes,,Garrisonborough,Philippines,True,M,944.916.9514,,,employed,"Scientist, product/process development",Other,R,7,
445,Jeremiah Rodriguez,,,111766,B,Yes,002,Michaelport,Western Sahara,True,,230-406-1617x970,,,unemployed,Seismic interpreter,Excel,Other,10,
446,Tyler Rodriguez,,,27283,B,No,abc,Port Joshuashire,Saint Lucia,,,(324)704-2819x587,eric79@hotmail.com,married,employed,Solicitor,Python,Tableau,5,
447,Phyllis Mcdonald,,2022-06-06,116333,Unknown,Yes,,Jenkinsside,Malaysia,,,517.370.2984x760,,,,Applications developer,Other,Other,8,Thomas-Taylor
448,Robin Mathews,,2022-09-29,133277,Unknown,No,,East Ann,Kiribati,False,M,939-648-7094x4896,pchristian@mcdonald.org,single,employed,Computer games developer,Other,PowerBI,2,"Torres, Rose and Sullivan"
449,Heather Love,,2023-12-17,30253,B,,abc,South Joshua,Namibia,,F,(296)350-6941,,,,Chiropodist,Other,R,8,"Smith, Anderson and Small"
450,Shane Daniels,,2022-08-14,13283,Unknown,Yes,abc,East Amanda,Panama,,Other,(268)798-5890x285,,,,Textile designer,Excel,PowerBI,2,
451,Catherine Snow,,2023-12-15,40255,B,Yes,abc,North David,Singapore,True,,(303)067-0672x136,,,,Cabin crew,Other,Other,7,"Brown, Morrison and Roberts"
452,Robert Meadows,53,,74046,Unknown,,abc,Port Rachelland,Germany,,Other,803.882.9844,,single,employed,"Research officer, political party",Other,PowerBI,2,Morrow-Miranda
453,Stephanie Gill,,,94458,Unknown,Yes,abc,Lake Mark,Oman,,Other,9439610137,,,employed,Interpreter,SQL,Tableau,3,
454,Daniel Smith,,2024-06-11,22170,B,Yes,003,Jacobmouth,Switzerland,False,M,235-021-7677,,,employed,Art therapist,Other,Other,9,
455,David Stephenson,,2024-01-04,10829,C,Yes,,Cochranview,Falkland Islands (Malvinas),,Other,4443473552,,single,,Systems analyst,Excel,Tableau,5,Shaw-Anderson
456,Dakota Washington,,2023-05-15,83517,C,Yes,002,Harrisburgh,Australia,,M,8437377584,,married,freelancer,Operations geologist,Python,PowerBI,4,
457,Susan Thomas,43,,29106,B,,003,Chandlermouth,United States Minor Outlying Islands,,M,+1-915-564-6302x872,,,,Product/process development scientist,SQL,R,1,
458,Kristen Woods,,2022-10-21,146544,C,No,abc,East Kellymouth,Sri Lanka,,Other,+1-668-883-6276x99804,,,,Camera operator,SQL,PowerBI,10,
459,Emily Adams,51,,127498,B,,,Millerside,Bosnia and Herzegovina,,,279-921-2729x28904,,single,,Prison officer,SQL,R,7,
460,Kristi Peterson,33,2023-11-13,112547,C,Yes,,Kimberlymouth,Macedonia,False,,616.784.6299,,,unemployed,Insurance claims handler,Python,Other,3,Warren-Brown
461,Carmen Krueger,33,2023-03-06,69379,B,No,abc,Williamsfort,Turkmenistan,,,855-992-0569x141,,single,unemployed,"Editor, magazine features",SQL,R,2,
462,Joshua Cardenas MD,,,16070,Unknown,Yes,001,Scottton,Saint Lucia,True,Other,(338)635-2378x13487,,,employed,"Psychologist, educational",Other,R,10,
463,Monica Hunter,,2025-02-09,136137,B,,,Johnmouth,Tanzania,,,170-906-0576x81320,kaylawilliams@leon.org,married,,Magazine features editor,Excel,R,5,
464,Robin Lambert,,2024-02-11,62149,C,Yes,002,New Joseph,Puerto Rico,False,Other,+1-600-428-1230,,,freelancer,Chief Operating Officer,Other,PowerBI,7,
465,Yvonne Christensen,,2025-04-14,116091,Unknown,No,003,West Joshua,Reunion,False,Other,(857)424-2809x7103,,,freelancer,"Engineer, civil (consulting)",Excel,Other,0,
466,Melissa Davis,60,2022-06-29,105844,B,No,,Smithport,Slovenia,True,,633-043-8249x883,shernandez@huynh.biz,,,Soil scientist,Excel,Other,4,Rasmussen PLC
467,Jane Alexander,23,2023-07-09,47002,Unknown,No,,Brentfort,Bahamas,,M,001-472-553-2102,,single,,Research scientist (physical sciences),Other,Other,5,
468,Phillip Cunningham,45,2024-04-20,137732,B,No,abc,Melissahaven,Mexico,,,001-060-260-0936x72134,,single,employed,Music tutor,SQL,Other,10,
469,Karen Anderson,,2022-06-06,87240,B,Yes,002,East Jacquelineview,France,False,,(433)775-6553x89317,,married,,"Nurse, mental health",Other,R,7,"Conner, Gould and Evans"
470,Michele Rogers,65,2024-08-16,90873,B,No,001,Timothystad,Eritrea,,Other,001-342-633-3248x0654,steven67@chan.info,,,Barrister,Other,Tableau,0,
471,Andrew Gutierrez,,,28324,Unknown,No,003,North Joelberg,Heard Island and McDonald Islands,False,M,763-376-2827x1271,,,,Chartered loss adjuster,Python,Tableau,1,Griffith and Sons
472,Sarah Rosario,,2025-04-16,142845,Unknown,No,,South Jeffreyhaven,Azerbaijan,,M,566-237-7878,tperez@gmail.com,married,unemployed,Gaffer,Python,R,7,Montoya and Sons
473,Kimberly Ramirez,,2023-10-16,79178,A,Yes,002,Friedmanland,Angola,,F,451-888-8593x761,lreed@yahoo.com,,freelancer,"Conservator, furniture",SQL,Other,7,
474,Barbara Blair,,,127914,C,No,,Higginshaven,Uganda,,F,862.495.6343x4708,,,,"Psychologist, occupational",Other,R,1,
475,David Garcia,53,2024-06-12,66562,Unknown,No,,Port Robertbury,Iraq,True,M,3854225986,,,freelancer,Data processing manager,Other,R,2,
476,Sharon Johnson,,2025-01-28,137054,Unknown,No,abc,Deborahbury,Ukraine,False,M,(408)455-4370,,,unemployed,Biomedical scientist,Python,PowerBI,5,
477,Jeff Brown,,2022-06-21,117744,B,Yes,,South Kelly,United Kingdom,,,(237)565-0459,,,unemployed,Biomedical scientist,Python,Other,2,
478,Kyle Williams,,,43960,A,No,002,Helenmouth,Burundi,True,,+1-783-579-8408x7009,,married,,Broadcast journalist,Other,PowerBI,7,
479,Gregory Kennedy,,,134233,B,No,001,New Katie,Tanzania,,M,001-508-563-3342x348,jackwood@yahoo.com,,unemployed,Corporate treasurer,SQL,Other,4,
480,John Diaz,,2024-09-28,6081,Unknown,,002,Jamesmouth,Kyrgyz Republic,,M,023-308-9453,jamesamy@gmail.com,,employed,"Embryologist, clinical",Python,PowerBI,4,
481,Tony Ortiz,61,,32805,C,No,001,Lake Kennethport,Montenegro,True,,001-335-988-7147,,,,Web designer,Python,Other,10,
482,Ryan Brady,39,,90174,C,No,001,Cartermouth,Croatia,,Other,152-649-3724,xcarr@hotmail.com,single,,Hospital doctor,Other,Other,1,Richard Group
483,Adam Brooks,34,2022-08-11,109573,B,Yes,002,Willietown,China,False,,001-737-308-8753x6412,,,unemployed,Hydrologist,Excel,R,7,Green-Perez
484,Veronica Mcgrath,,,30195,C,,002,Cynthiaborough,Aruba,,,(633)115-7710,,,freelancer,Audiological scientist,Other,Other,6,
485,Jennifer Lopez,,,116677,B,Yes,,Kaylafurt,Argentina,,,(148)190-1682,,married,unemployed,Press photographer,Other,Other,10,
486,Lindsay Barr,51,2022-07-18,25757,Unknown,Yes,002,Christinaport,Svalbard & Jan Mayen Islands,False,Other,001-504-353-2614x222,joneshayley@nelson.com,,freelancer,Personnel officer,Other,PowerBI,8,
487,Dawn Vaughn,,2023-06-07,113270,B,No,,Port Lauraville,Philippines,,Other,(793)171-0299,,single,,Clinical molecular geneticist,Excel,PowerBI,10,Santos Inc
488,Roger Scott PhD,29,,114117,B,No,,Donaldbury,Botswana,,,4149865794,,,freelancer,Higher education careers adviser,SQL,Tableau,2,
489,Kenneth Hall,,2024-10-08,32873,Unknown,,001,Smithfurt,Bahamas,True,,001-216-026-9360x30269,pearsonjeffrey@gmail.com,single,unemployed,"Presenter, broadcasting",Other,Other,6,
490,Mallory Beck,,,99562,Unknown,Yes,001,Haleymouth,Timor-Leste,False,F,202-896-7714x1018,jason54@wang.com,married,employed,"Engineer, biomedical",Excel,Tableau,0,
491,Tanya Salazar,,2023-07-22,119239,Unknown,No,001,Lake Robert,Czech Republic,,,(550)139-9792x92278,sandra72@rodriguez-cooley.net,,,"Administrator, local government",Excel,PowerBI,2,
492,Kimberly Moore,,,128598,A,No,,Lake Michael,Marshall Islands,False,F,711-849-9628x31692,,,employed,Research scientist (maths),Python,PowerBI,1,
493,Jessica Johnston,,,81224,A,No,abc,Jennifershire,Guatemala,,,576.334.6981x22016,,,unemployed,"Engineer, chemical",Excel,Other,0,Hayes Group
494,Scott Jenkins,,,114350,Unknown,Yes,abc,East Kristy,Canada,,,+1-843-553-2996x799,,,employed,Chartered loss adjuster,SQL,R,3,"Chang, Haas and Patel"
495,David Christian,,2025-03-06,93906,Unknown,No,003,East Don,British Indian Ocean Territory (Chagos Archipelago),,,(520)337-7791x4724,,,,Office manager,SQL,Other,3,"Stanley, Crawford and Skinner"
496,Alyssa Ayala,,2024-03-31,38841,C,No,002,Karenchester,Oman,,M,(353)609-3987x78529,,,freelancer,Field seismologist,SQL,Tableau,8,
